1:< proc ,101 >
1:< maxminavg ,1 >
1:< ; ,302 >
2:< integer ,103 >
2:< [ ,303 >
2:< 3 ,2 >
2:< ] ,304 >
2:< a ,1 >
2:< ; ,302 >
3:< integer ,103 >
3:< max ,1 >
3:< ; ,302 >
4:< integer ,103 >
4:< min ,1 >
4:< ; ,302 >
5:< integer ,103 >
5:< sum ,1 >
5:< ; ,302 >
6:< integer ,103 >
6:< i ,1 >
6:< ; ,302 >
7:< real ,104 >
7:< avg ,1 >
7:< ; ,302 >
9:< a ,1 >
9:< [ ,303 >
9:< 1 ,2 >
9:< ] ,304 >
9:< = ,307 >
9:< 1 ,2 >
9:< ; ,302 >
10:< a ,1 >
10:< [ ,303 >
10:< 2 ,2 >
10:< ] ,304 >
10:< = ,307 >
10:< 2 ,2 >
10:< ; ,302 >
11:< a ,1 >
11:< [ ,303 >
11:< 3 ,2 >
11:< ] ,304 >
11:< = ,307 >
11:< 3 ,2 >
11:< ; ,302 >
12:< sum ,1 >
12:< = ,307 >
12:< 0 ,2 >
12:< ; ,302 >
13:< max ,1 >
13:< = ,307 >
13:< a ,1 >
13:< [ ,303 >
13:< 1 ,2 >
13:< ] ,304 >
13:< ; ,302 >
14:< min ,1 >
14:< = ,307 >
14:< a ,1 >
14:< [ ,303 >
14:< 1 ,2 >
14:< ] ,304 >
14:< ; ,302 >
15:< i ,1 >
15:< = ,307 >
15:< 1 ,2 >
15:< ; ,302 >
17:< while ,108 >
17:< true ,111 >
17:< do ,109 >
18:< begin ,113 >
19:< a ,1 >
19:< = ,307 >
19:< a ,1 >
19:< + ,201 >
19:< 1 ,2 >
19:< ; ,302 >
20:< end ,114 >
22:< if ,105 >
22:< a ,1 >
22:< [ ,303 >
22:< i ,1 >
22:< ] ,304 >
22:< > ,206 >
22:< max ,1 >
22:< then ,107 >
23:< begin ,113 >
24:< max ,1 >
24:< = ,307 >
24:< a ,1 >
24:< [ ,303 >
24:< i ,1 >
24:< ] ,304 >
24:< ; ,302 >
25:< end ,114 >
27:< if ,105 >
27:< a ,1 >
27:< [ ,303 >
27:< i ,1 >
27:< ] ,304 >
27:< > ,206 >
27:< max ,1 >
27:< then ,107 >
28:< begin ,113 >
29:< max ,1 >
29:< = ,307 >
29:< a ,1 >
29:< [ ,303 >
29:< i ,1 >
29:< ] ,304 >
29:< ; ,302 >
30:< end ,114 >
31:< else ,106 >
32:< begin ,113 >
33:< a ,1 >
33:< = ,307 >
33:< 1 ,2 >
33:< ; ,302 >
34:< end ,114 >
36:< while ,108 >
36:< true ,111 >
36:< do ,109 >
37:< begin ,113 >
39:< if ,105 >
39:< i ,1 >
39:< <= ,205 >
39:< 3 ,2 >
39:< then ,107 >
40:< begin ,113 >
41:< sum ,1 >
41:< = ,307 >
41:< sum ,1 >
41:< + ,201 >
41:< a ,1 >
41:< [ ,303 >
41:< i ,1 >
41:< ] ,304 >
41:< ; ,302 >
42:< end ,114 >
44:< if ,105 >
44:< a ,1 >
44:< [ ,303 >
44:< i ,1 >
44:< ] ,304 >
44:< > ,206 >
44:< max ,1 >
44:< then ,107 >
45:< begin ,113 >
46:< max ,1 >
46:< = ,307 >
46:< a ,1 >
46:< [ ,303 >
46:< i ,1 >
46:< ] ,304 >
46:< ; ,302 >
47:< end ,114 >
49:< if ,105 >
49:< a ,1 >
49:< [ ,303 >
49:< i ,1 >
49:< ] ,304 >
49:< < ,204 >
49:< min ,1 >
49:< then ,107 >
50:< begin ,113 >
51:< min ,1 >
51:< = ,307 >
51:< a ,1 >
